ts,key,val_size,tntid,op,ttl
0,yDqF:gY:1AJr9ACJGxKAAJKAn91,27,1,get,0
0,yDqF:vq:1AJAAxCJxrxAAKnJ1JJ,27,1,get,0
1,yDqF:vS:1AJrnxGACAAA9rJJx9K,27,0,get,0
2,q:q:1:8We97gzuve8,679,2,get,0
5,q:q:1:8WTPbBaunem,211,1,get,0
6,q:q:1:85n5yrZHLe8,1313,0,get,0
12,q:q:1:85/icNyuWee,569,0,get,0
14,yDqF:vS:1AJrnA191JnJ9x9JJGA,27,2,get,0
14,yDqF:vS:1AJr91nAKKC9KAnGn9K,27,0,get,0
17,q:q:1:8W8IQnOHle8,486,0,get,0
18,yDqF:vS:n9r1JJKnxn9xJJ9x1A,27,0,get,0
18,q:zFv:1:FD:F6iDdqzvSIjaSu,0,0,get,0
19,yDqF:vq:1AJrnArJCKnC9G1AKrr,27,2,get,0
22,yDqF:vq:119G1AnnKr1rCJKAGGr,27,0,get,0
23,q:q:1:8WTXXOWH7e8,477,1,get,0
25,q:q:1:8WT5ex0WQee,1488,2,get,0
26,yDqF:vq:1AJrr11C11rnrGx9x9K,27,2,get,0
30,yDqF:vq:1A1CGCJKx9JnKJ9nCxA,27,1,set,86400
31,yDqF:vS:1AJr9Jn19xGx9GKJrnA,27,1,get,0
31,q:q:1:8WTTJSB1Ae4,365,2,get,0
34,yDqF:vS:1AJrrCxnGn9KCK1ArnJ,27,0,get,0
38,q:q:1:8WTP5s4uCee,672,1,get,0
39,yDqF:gY:1AJ1GrCC9xxrJ1xA9JK,27,2,get,0
40,yDqF:gY:1AJAnKGn19KC1nrKnKJ,27,0,get,0
41,yDqF:vq:1AJACJJKx11r119A9AJ,27,1,get,0
44,q:q:1:8WTPfMq1Kee,734,2,get,0
44,q:q:1:8WTw0OWW7ee,329,0,get,0
48,q:q:1:rcPLvPuwee,432,2,get,0
50,yDqF:gY:1AJ1GnJxJ9Knr9CCKnG,27,2,get,0
51,yDqF:vS:1AJ19rGxxAAx9A9CCG1,27,1,get,0
51,yDqF:vq:1A1GA9n9AAKnGKxJnxJ,27,1,get,0
51,yDqF:vq:1AJrnGnGJKAGG19xxGJ,27,0,get,0
52,yDqF:vS:1AJr11A9Gxn1KxAK1xA,27,2,get,0
53,yDqF:gY:1AJr9r9CJrKKC9KJCr9,27,2,get,0
53,q:q:1:85/9ppdH4ee,451,1,get,0
54,yDqF:gY:1ArAxC99CrC9GCnxrKA,27,2,get,0
57,yDqF:vS:1AJrrKG1CAnr1C19KxC,27,0,get,0
58,q:q:1:/cAfE0uTe8,250,2,get,0
63,yDqF:3q:1AJrnCACrxC1n1rrJJ1,27,1,get,0
68,q:q:1:8WTPL0L1CeT,217,1,get,0
71,q:q:1:8WTwM6TuUee,17,1,get,0
73,q:q:1:85/icNyuWee,569,0,get,0
76,yDqF:gY:1AJr9r9CJrKKC9KJCr9,27,0,get,0
77,yDqF:vq:1AJrrxrGCrJ11rCn1KJ,27,2,get,0
77,yDqF:vq:1AJAGxAArC9K19CCr1r,27,0,get,0
78,q:q:1:/a24KG17ee,249,1,get,0
82,yDqF:gY:1AJr9A1KnCxrrCGrKJK,27,1,get,0
87,yDqF:vq:1AJrJGnCJ19J911JG1G,27,0,get,0
92,yDqF:gY:1AJrnCJnJJ99ACCCGnC,27,2,get,0
95,q:zFv:1:FD:NzDiFdYdiS1_,67,0,get,0
95,yDqF:vq:1AJAxnCJCAnCArrJKGK,27,0,get,0
96,q:q:1:85/icNyuWee,569,0,get,0
97,q:q:1:8T5/zbQ1AeW,394,0,get,0
98,yDqF:vS:1AJrrCnxnrrrxCCAxr1,27,2,get,0
98,yDqF:vq:1AJrnJC1KCGGCrAn1GJ,27,2,get,0
99,q:q:1:85VNFAAHUee,759,1,get,0
100,q:q:1:8WTwh6W1Qee,703,2,get,0
100,q:q:1:85/icNyuWee,569,2,get,0
