ts,key,val_size,tntid,op,ttl
0,z44uy84G444444bLdHdK4464444ycI8444==,479,1618,get,0
1,z44uy84y44444Gg6NFoK4464444yIIvK4uN44448HJi7Mti73PhCTcMLHzGoMtA93qn5HPHCTzMrvt8LHznn4yn4444n444=,30,1618,get,0
1,z44uy84G444444bssLNK4464444ygAn444==,311,1618,get,0
1,z44uy84y44444K26-PM444==,551,1618,get,0
1,z44uy84yzyIfqQ7Vv44n44M4444wyo4F44444CQi444=,323,1618,get,0
1,z44uy84yzNs6natVo4Gn44M4444yyo4F44444CQi444=,503,1618,get,0
1,z44uy84y44444vVMS3Cn44M4444y444=,503,1618,get,0
1,z44uy84y44444vVMS3Cn44M4444y444=,503,1618,get,0
1,z44uy84y44444up_eWiF44i444444siAmo84u84444nF44CgTA6qoRli44d4y84444wHq444,311,1618,get,0
1,z44uy84G444444bEP8d444==,383,1618,get,0
2,z44uy84y44444G0CAL4K4464444yIIvK4uN44448HPnr3qgYTqntTbi5HbgCvbnrH5MOvcVOvPVovPn03zin4yn4444b444=,335,1618,get,0
2,z44uy84y44444wDbALnF44i444444INDB884u8444uvF44Cg2qilhkM444d4y84444wIVo44,30,1618,get,0
2,z44uy84y444444nadg6F44i444444sibni84u84444nF44Cg2emBMeli44d4y84444wzii44,335,1618,get,0
2,z44uy84yzUHY7caWM44n44M4444yyo4F44444Cwx444=,719,1618,get,0
3,z44uy84y444444kZ_54444==,407,1618,get,0
3,z44uy84G444444bE2OM444==,359,1618,get,0
3,z44uy84yz1ik3pfVS44F44i444444lO8x484u8444uvF44Ci-yJuBAc84id4y84444wFV444,335,1618,get,0
3,z44uy84yz1ik3pfVS44F44i444444lO8x484u8444uvF44Ci-yJuBAc84id4y84444wFV444,335,1618,get,0
3,z44uy84y44444vQbTtCn44M4444w444=,407,1618,get,0
4,z44uy84G444444bJ33Gn44M4444c444=,335,1618,get,0
4,z44uy84yG4tJOvnIV4GK4464444yIIvK4uN44448Mc3Y3bgJM5v0McCOHzS7vJnoTbwCM5nOHzgJMPhJMJVn4yn4444y444=,311,1618,get,0
