ts,key,key size,val_size,tntid,op,ttl
0,z44uy84y44444uGvndVF44i444444sv2Ai84u84444CF44CgKeMysEmiuid4y84444wFV444,72,335,1945,get,0
0,z44uy84yyelMvDvqG4GF44i444444sxsR484u84444nF44CgiY3UPLmo4od4y84444wIVo44,72,311,1945,get,0
1,z44uy84yG4DJkQ6Wd44F44i444444lfTR484u84444iF448iyDs5JYmo44d4y84444wIVo44,72,30,1945,get,0
1,z44uy84G444444bOfM6K4464444yIIv444==,36,455,1945,get,0
1,z44uy84G444444bZquVn44M4444u444=,32,359,1945,get,0
1,z44uy84yyaNyNiuIn4GF44i444444sw6b884u84444nF44Cg256G8Hm444d4y84444wIVo44,72,359,1945,get,0
1,z44uy84yy_XcS9bWd4GF44i444444sHZti84u84444nF44CgHab-Gklo44d4y84444wIVo44,72,359,1945,get,0
2,z44uy84G444444bLmrO444==,24,359,1945,get,0
2,z44uy84yGvesFluWV44F44i444444l1lIo84u84444iF448itIdQ6hRi44d4y84444wIVo44,72,311,1945,get,0
3,z44uy84y444444WiVENn44M4444yyo4F44444AIc444=,44,383,1945,get,0
3,z44uy84yzNZwnF5VG44F44i444444swzDi84u84444iF4482rdC8Z3ii44d4y84444wFV444,72,311,1945,get,0
3,z44uy84y44444nDLuNiF44i444444s4-l884u84444nF44CgKNXKK0c44od4y84444wFV444,72,431,1945,get,0
6,z44uy84yz3vNJAmq744F44i444444sv97i84u84444iF448HCtrlI0s844d4y84444wwg444,72,30,1945,get,0
6,z44uy84y444444wpcC6F44i444444svkui84u8444uvF44Cg2TxggwR8u8d4y84444exgIHVWOkbWeR2VCLG444=,88,335,1945,get,0
6,z44uyo4F44444AIcyo4f4444nzhAHJwAvtStvbgCMPi7Tcw93zitMPYP3PgP3zvLTzCLy4494444u844,80,335,1945,get,0
6,z44uy84yGbI6WO3I44Gn44M4444uyo4F44444CQi444=,44,323,1945,get,0
7,z44uy84yyfjXiNPWn44K4464444ycI8K4uN444483cCovtGovci03PvrHbvXH5GrHz4rvbne3PhPvtVOvc4444==,88,335,1945,get,0
7,z44uy84yzjbdgvmqd4VF44i444444l-Rti84u844446F448TNlLGL0louid4y84444wwgi44,72,30,1945,get,0
7,z44uy84yGxumZcLVO44K4464444yIIvK4uN44448vbI93bH9TzH93bV5HbVeMP8eMcnOHcC7H5wYvPVt3zvn4yn4444b444=,96,311,1945,get,0
8,z44uy84y44444uwoPEdK4464444yxIiF4yv444444yZxo844,48,311,1945,get,0
8,z44uy84y44444uwoPEdK4464444yxIiF4yv444444yZxo844,48,311,1945,get,0
8,z44uy84y444444NiZHVF44i4444443092884u844446F44844444zLydeid4y84444wFV444,72,311,1945,get,0
8,z44uy84y44444u_Fgg7F44i444444lQBb484u84444GF44Ci0q3zwwfi48d4y84444wIVo44,72,383,1945,get,0
9,z44uy84yGFSMOiTVO4GF44i444444sgYko84u84444nF44CgiGKtrYg844d4y84444wFV444,72,335,1945,get,0
10,z44uy84y444444L8QcvK4uN44448HzCLM5gYvtVL3JICHbwCTc853JgJHJI93qVOvcGoMJv444==,76,311,1945,get,0
10,z44uy84y444444wpcC6F44i444444svkui84u8444uvF44Cg2TxxwLco48d4y84444whVo44,72,311,1945,get,0
11,z44uy84G444444bOCdNn44M4444u444=,32,335,1945,get,0
