ts,key,key size,val_size,tntid,op,ttl
0,z44uy84y44444gOWknVK4464444ygAnK4uN44448Hbvt3c473PwCvtuPHzGOM5neHcgJMtS7HzM7TzCXvtC444==,88,335,124,get,0
0,z44uy84y44444z1vOx4F44i444444sgweo84u8444uvF44Cg2fuf8hco4id4y84444wcii44,72,335,405,get,0
0,z44uy84y44444z1vOx4F44i444444sgweo84u8444uvF44Cg2fuf8hco4id4y84444wcii44,72,335,405,get,0
0,z44uy84yGz9_ULnWM4GF44i444444sbT8484u84444nF44Ci92h3Ahs848d4y84444wHq444,72,335,1272,get,0
0,z44uy84G444444bsZN4n44M4444y444=,32,335,1486,get,0
0,z44uy84y444444IwAt8F44i444444cn48884u8444uvF44CgUF9HNklo44d4y84444wIVo44,72,311,1486,get,0
0,z44uy84y44444U4_18iF44i444444sgP-i84u84444nF44CgibMCfYR84id4y84444wHq444,72,479,2062,get,0
0,z44uy84G444444bIv0M444==,24,359,2062,get,0
1,z44uy84y4444445vUc6K4uN44449MqRdRbntiPh3lchoMJeTmVguSeHuvG3XMOwQs5eTqVYGii44,76,323,2062,get,0
1,z44uy84y44444vzWiYGK4uN444483bHAMtM53PGevznOHz47MtCevtgJv5V53cwA3bM73Pi444==,76,311,2062,get,0
1,z44uy84yz98lBX1I444K4464444yxA4444==,36,527,124,get,0
1,z44uy84G444444btKfnK4464444ygAn444==,36,455,1272,get,0
1,z44uy84y44444ikt_s4n44M4444G444=,32,311,2062,get,0
1,z44uy84yy_IMESuIM44n44M4444G444=,32,311,1486,get,0
1,z44uy84yGbaEwE9VS44F44i444444sGRf884u84444nF44CgU8JeWIfi4od4y84444wygi44,72,455,124,get,0
1,z44uy84y44444K37mT7F44i444444sHI_o84u844446F44844444EaY7B8d4y84444wIVo44,72,311,405,get,0
1,z44uy84G444444bLikon44M4444G444=,32,311,1272,get,0
1,z44uy84yGiQCr8uqd44n44M4444Fyo4F44444AHu444=,44,311,405,get,0
